Sale_Date,State,City,Car_Brand,Car_Model,Car_Type,Unit_Price_Naira,Quantity,Discount_Percent,Revenue_Naira,Customer_Type,Delivery_Date,Delivery_Status,Delivery_Time_Hours,Warehouse,Driver,Car_Age,Region,Sales_Rep
2025-04-23,Edo,Benin City,Toyota,Camry,Nigerian Used,7000000,2,2.87,13598200.0,Individual,2025-05-01,On-Time,13,Lagos,David,9,South South,Ade
2022-06-19,Osun,Ilesa,Honda,CR-V,Nigerian Used,3900000,1,0.69,3873090.0,Individual,2022-06-26,Delayed,11,Lagos,Paul,14,South West,Uche
2025-06-18,Lagos,Surulere,Benz,GLC 350,Foreign Used,45000000,1,14.09,38659500.0,Individual,2025-06-24,Delayed,12,Lagos,Segun,3,South West,Chidi
2023-05-09,Imo,Okigwe,Toyota,Camry,Nigerian Used,8500000,2,15.04,14443200.0,Individual,2023-05-17,On-Time,11,Lagos,Mike,7,South East,Sola
2025-07-09,Lagos,Epe,Toyota,Corolla,Foreign Used,10285714,1,11.99,9052456.8914,Individual,2025-07-15,On-Time,8,Lagos,John,9,South West,Ade
2021-11-17,Anambra,Onitsha,Toyota,Rav4,Foreign Used,23428571,1,13.07,20366456.7703,Individual,2021-11-18,On-Time,10,Lagos,David,5,South East,Ngozi
2022-11-26,Anambra,Ekwulobia,Hyundai,Tucson,Foreign Used,10000000,1,0.34,9966000.0,Individual,2022-12-01,On-Time,6,Lagos,Chuka,8,South East,Chidi
2023-04-26,Benue,Makurdi,Honda,Civic,Nigerian Used,9300000,1,2.23,9092610.0,Individual,2023-04-29,On-Time,11,Lagos,Segun,8,North,Emeka
2025-12-09,Rivers,Eleme,Toyota,Camry,Foreign Used,16857142,1,12.94,14675827.8252,Individual,2025-12-17,On-Time,10,Lagos,Segun,7,South South,Sola
2024-09-08,Ekiti,Ijero,Honda,Pilot,Foreign Used,13714285,1,9.28,12441599.352,Individual,2024-09-10,Delayed,8,Lagos,David,8,South West,Sola
2022-09-01,Benue,Gboko,Honda,CR-V,Nigerian Used,4800000,1,1.39,4733280.0,Individual,2022-09-10,On-Time,5,Lagos,Chuka,13,North,Kemi
2024-05-10,Lagos,Surulere,Toyota,Highlander,Foreign Used,23428571,1,16.53,19555828.2137,Individual,2024-05-15,On-Time,12,Lagos,John,5,South West,Chidi
2024-08-01,Rivers,Obio-Akpor,Benz,E-Class,Foreign Used,32142857,1,19.92,25739999.8856,Individual,2024-08-02,On-Time,11,Lagos,Emmanuel,6,South South,Uche
2021-07-01,Oyo,Ogbomosho,Benz,GLE 450,Foreign Used,32142857,3,14.53,82417499.6337,Individual,2021-07-07,On-Time,3,Lagos,Tayo,6,South West,Chidi
2022-02-26,Edo,Ekpoma,Benz,E-Class,Nigerian Used,12300000,1,0.41,12249570.0,Individual,2022-03-03,On-Time,5,Lagos,Tayo,8,South South,Ade
2024-09-17,Ekiti,Ado-Ekiti,Toyota,Rav4,Nigerian Used,2500000,1,13.29,2167750.0,Individual,2024-09-23,Delayed,8,Lagos,David,15,South West,Chidi
2021-08-23,Oyo,Ogbomosho,Hyundai,Tucson,Foreign Used,8000000,1,19.33,6453600.0,Individual,2021-08-24,Delayed,7,Lagos,John,9,South West,Uche
2022-10-15,Lagos,Ajah,KIA,Sportage,Nigerian Used,5000000,1,6.64,4668000.0,Individual,2022-10-24,On-Time,5,Lagos,Paul,9,South West,Emeka
2022-02-26,Lagos,Surulere,Hyundai,Santa Fe,Foreign Used,12000000,1,18.71,9754800.0,Individual,2022-03-02,On-Time,4,Lagos,David,7,South West,Chidi
2022-12-23,Lagos,Ajah,Toyota,Highlander,Foreign Used,20142857,1,3.91,19355271.2913,Individual,2022-12-30,On-Time,9,Lagos,John,6,South West,Funke
2023-05-22,Lagos,Epe,Benz,E-Class,Foreign Used,15000000,1,14.83,12775500.0,Individual,2023-05-24,On-Time,2,Lagos,David,10,South West,Sola
2022-05-13,Ekiti,Ijero,Honda,Sonata,Foreign Used,16571428,1,19.32,13369828.1104,Individual,2022-05-18,On-Time,12,Lagos,Paul,7,South West,Emeka
2022-06-19,Edo,Benin City,Toyota,Corolla,Nigerian Used,2500000,1,1.5,2462500.0,Individual,2022-06-23,Delayed,9,Lagos,Chuka,15,South South,Tunde
2025-08-26,Lagos,Ikeja,Toyota,Rav4,Foreign Used,16857142,1,17.69,13875113.5802,Individual,2025-09-02,Delayed,9,Lagos,Tayo,7,South West,Ngozi
2025-11-07,Lagos,Ikeja,Honda,Accord,Nigerian Used,4800000,1,5.48,4536960.0,Individual,2025-11-09,On-Time,3,Lagos,David,13,South West,Ngozi
2021-06-17,Lagos,Ikeja,Toyota,Highlander,Nigerian Used,4750000,1,14.21,4075025.0,Individual,2021-06-22,Delayed,12,Lagos,Peter,12,South West,Bola
2023-06-06,Katsina,Daura,Toyota,Highlander,Foreign Used,7000000,1,12.1,6153000.0,Individual,2023-06-13,On-Time,12,Lagos,Chuka,10,North,Emeka
2025-06-14,Bayelsa,Brass,KIA,Sportage,Foreign Used,7000000,1,9.14,6360200.0,Individual,2025-06-20,Delayed,9,Lagos,Tayo,10,South South,Kemi
2022-08-07,Lagos,Ajah,Benz,E-Class,Foreign Used,15000000,1,14.8,12780000.0,Individual,2022-08-11,On-Time,6,Lagos,Bright,10,South West,Ngozi
2022-01-01,Osun,Ile-Ife,Toyota,Corolla,Nigerian Used,7000000,1,10.19,6286700.0,Individual,2022-01-06,Delayed,6,Lagos,Segun,9,South West,Chidi
2023-11-25,Imo,Oguta,Hyundai,Santa Fe,Foreign Used,6000000,1,8.18,5509200.0,Individual,2023-11-28,Delayed,7,Lagos,Segun,10,South East,Uche
2021-06-11,Ondo,Ondo,Hyundai,Sonata,Foreign Used,12000000,1,6.48,11222400.0,Individual,2021-06-15,On-Time,4,Lagos,John,7,South West,Kemi
2021-08-09,Ekiti,Omuo,Toyota,Highlander,Nigerian Used,3250000,1,14.79,2769325.0,Individual,2021-08-15,Delayed,14,Lagos,John,14,South West,Tunde
2026-01-17,Bayelsa,Brass,Toyota,Corolla,Nigerian Used,5500000,1,17.32,4547400.0,Individual,2026-01-24,On-Time,12,Lagos,Paul,11,South South,Ade
2024-06-25,Lagos,Ikorodu,Hyundai,Elantra,Foreign Used,10000000,1,18.41,8159000.0,Individual,2024-06-27,On-Time,13,Lagos,Paul,8,South West,Kemi
2022-12-24,Lagos,Surulere,Honda,CR-V,Nigerian Used,3900000,1,10.09,3506490.0,Individual,2022-12-25,On-Time,12,Lagos,Peter,14,South West,Funke
2023-04-16,Oyo,Ibadan North,Honda,Sonata,Foreign Used,13714285,1,7.42,12696685.053,Individual,2023-04-21,On-Time,6,Lagos,Segun,8,South West,Uche
2021-11-21,Lagos,Ikeja,Honda,Sonata,Foreign Used,8000000,2,7.69,14769600.0,Individual,2021-11-24,Delayed,14,Lagos,Peter,10,South West,Tunde
2024-07-07,Benue,Otukpo,Toyota,Highlander,Nigerian Used,8500000,1,13.16,7381400.0,Individual,2024-07-13,On-Time,11,Lagos,Peter,7,North,Bola
2024-08-10,Osun,Ilesa,Honda,Civic,Foreign Used,8000000,1,0.03,7997600.0,Individual,2024-08-11,On-Time,5,Lagos,Chuka,10,South West,Bola
2026-03-24,Kano,Wudil,Honda,Accord,Foreign Used,22285714,1,7.78,20551885.4508,Individual,2026-03-26,Delayed,5,Lagos,Mike,5,North,Emeka
2025-11-24,Lagos,Lekki,Toyota,Rav4,Nigerian Used,4750000,1,12.87,4138675.0,Individual,2025-11-30,On-Time,10,Lagos,John,12,South West,Bola
2023-05-10,Lagos,Ajah,Honda,Civic,Nigerian Used,6600000,1,19.03,5344020.0,Individual,2023-05-14,On-Time,12,Lagos,David,11,South West,Funke
2024-01-21,Lagos,Alimosho,Toyota,Sonata,Foreign Used,16857142,1,0.66,16745884.8628,Individual,2024-01-29,Delayed,14,Lagos,Segun,7,South West,Emeka
2023-09-11,Lagos,Ajah,Hyundai,Tucson,Foreign Used,6000000,2,14.64,10243200.0,Individual,2023-09-12,On-Time,6,Lagos,Chuka,10,South West,Ngozi
2024-04-21,Imo,Oguta,Hyundai,Elantra,Nigerian Used,8350000,1,1.13,8255645.0,Individual,2024-04-22,On-Time,2,Lagos,Paul,6,South East,Emeka
2023-08-23,FCT,Gwagwalada,Hyundai,Santa Fe,Foreign Used,6000000,1,6.19,5628600.0,Individual,2023-08-28,Delayed,6,Lagos,Segun,10,North,Sola
2021-09-02,Enugu,Enugu City,Hyundai,Elantra,Nigerian Used,7050000,2,2.79,13706610.0,Individual,2021-09-06,Delayed,14,Lagos,Mike,8,South East,Sola
2025-08-03,Oyo,Ogbomosho,Honda,Civic,Foreign Used,22285714,1,15.37,18860399.7582,Individual,2025-08-05,On-Time,3,Lagos,Mike,5,South West,Sola
2023-08-09,Enugu,Udi,Benz,E-Class,Foreign Used,19285714,1,4.63,18392785.4418,Individual,2023-08-18,On-Time,13,Lagos,Bright,9,South East,Sola
2022-05-27,Bayelsa,Ogbia,Benz,Sonata,Nigerian Used,9600000,1,0.39,9562560.0,Individual,2022-05-31,On-Time,13,Lagos,Segun,11,South South,Kemi
2022-10-06,Imo,Orlu,Toyota,Rav4,Nigerian Used,5500000,3,17.23,13657050.0,Individual,2022-10-14,On-Time,10,Lagos,Emmanuel,11,South East,Ngozi
2024-03-15,Lagos,Alimosho,Honda,Accord,Foreign Used,25142857,1,5.13,23853028.4359,Individual,2024-03-17,Delayed,9,Lagos,Chuka,4,South West,Uche
2025-12-11,Edo,Auchi,Toyota,Corolla,Foreign Used,23428571,1,4.67,22334456.7343,Individual,2025-12-12,On-Time,7,Lagos,Chuka,5,South South,Ade
2021-11-11,Lagos,Ajah,Hyundai,Tucson,Nigerian Used,3800000,1,7.85,3501700.0,Individual,2021-11-12,Delayed,7,Lagos,David,13,South West,Uche
2025-07-27,Rivers,Obio-Akpor,Honda,Civic,Foreign Used,28000000,2,4.93,53239200.0,Individual,2025-07-28,On-Time,6,Lagos,John,3,South South,Emeka
2024-03-25,Lagos,Alimosho,Toyota,Camry,Nigerian Used,7750000,1,12.74,6762650.0,Individual,2024-03-30,On-Time,6,Lagos,John,8,South West,Tunde
2024-12-10,Ondo,Owo,Toyota,Highlander,Nigerian Used,8500000,1,0.66,8443900.0,Individual,2024-12-14,On-Time,9,Lagos,Paul,7,South West,Funke
2023-04-21,Bayelsa,Ogbia,Hyundai,Santa Fe,Foreign Used,10000000,1,18.12,8188000.0,Individual,2023-04-30,On-Time,8,Lagos,Mike,8,South South,Bola
2023-10-13,Osun,Osogbo,KIA,Sportage,Nigerian Used,5000000,1,6.76,4662000.0,Individual,2023-10-18,On-Time,12,Lagos,Emmanuel,9,South West,Sola
2022-09-11,Lagos,Surulere,Toyota,Camry,Foreign Used,7000000,1,8.33,6416900.0,Individual,2022-09-13,Delayed,12,Lagos,Chuka,10,South West,Tunde
2023-12-01,Lagos,Epe,Benz,E-Class,Nigerian Used,14100000,1,9.18,12805620.0,Individual,2023-12-10,Delayed,7,Lagos,John,6,South West,Funke
2023-05-21,Ekiti,Ijero,Honda,Sonata,Nigerian Used,9300000,1,19.99,7440930.0,Individual,2023-05-22,On-Time,4,Lagos,Emmanuel,8,South West,Ade
2021-12-21,Enugu,Nsukka,Honda,Sonata,Foreign Used,25142857,1,19.44,20255085.5992,Individual,2021-12-27,On-Time,11,Lagos,John,4,South East,Sola
2025-05-05,Oyo,Ibadan Central,Toyota,Highlander,Nigerian Used,10000000,2,9.6,18080000.0,Individual,2025-05-12,Delayed,9,Lagos,Chuka,5,South West,Emeka
2024-06-17,Katsina,Katsina City,Benz,GLC 350,Nigerian Used,8700000,3,4.51,24922890.0,Individual,2024-06-22,On-Time,8,Lagos,David,12,North,Tunde
2024-11-13,Lagos,Alimosho,Benz,GLC 350,Foreign Used,19285714,3,9.78,52198713.5124,Individual,2024-11-17,On-Time,9,Lagos,Segun,9,South West,Emeka
2021-07-01,Lagos,Ikorodu,Honda,CR-V,Foreign Used,28000000,1,16.53,23371600.0,Individual,2021-07-05,On-Time,3,Lagos,Paul,3,South West,Tunde
2023-01-19,Benue,Katsina-Ala,Hyundai,Tucson,Foreign Used,8000000,1,11.2,7104000.0,Individual,2023-01-26,On-Time,10,Lagos,David,9,North,Sola
2024-11-10,Enugu,Udi,Toyota,Rav4,Foreign Used,13571428,1,5.71,12796499.4612,Individual,2024-11-12,On-Time,12,Lagos,Emmanuel,8,South East,Ade
2024-03-16,Enugu,Awgu,Toyota,Highlander,Foreign Used,20142857,3,5.27,57243985.3083,Individual,2024-03-20,Delayed,6,Lagos,Segun,6,South East,Chidi
2023-04-22,Imo,Oguta,Honda,Pilot,Nigerian Used,5700000,1,16.18,4777740.0,Individual,2023-04-30,Delayed,6,Lagos,John,12,South East,Funke
2022-06-10,Kano,Wudil,Toyota,Corolla,Foreign Used,30000000,1,13.47,25959000.0,Individual,2022-06-17,Delayed,2,Lagos,John,3,North,Uche
2021-12-26,Lagos,Surulere,Hyundai,Santa Fe,Foreign Used,10000000,1,13.82,8618000.0,Individual,2022-01-03,Delayed,7,Lagos,Emmanuel,8,South West,Bola
2021-10-13,Ekiti,Ikere,Benz,C-Class,Nigerian Used,11400000,1,12.0,10032000.0,Individual,2021-10-20,On-Time,9,Lagos,Mike,9,South West,Chidi
2021-05-19,Oyo,Ibadan North,Toyota,Rav4,Foreign Used,7000000,1,3.01,6789300.0,Individual,2021-05-22,Delayed,6,Lagos,Tayo,10,South West,Emeka
2021-06-19,Ogun,Sango Ota,Honda,Pilot,Foreign Used,19428571,1,19.36,15667199.6544,Individual,2021-06-21,On-Time,7,Lagos,Tayo,6,South West,Sola
2021-03-23,Oyo,Ogbomosho,Benz,Sonata,Foreign Used,15000000,3,9.58,40689000.0,Individual,2021-04-01,On-Time,10,Lagos,Bright,10,South West,Chidi
2022-10-14,Lagos,Ikorodu,Toyota,Rav4,Foreign Used,13571428,1,13.27,11770499.5044,Individual,2022-10-15,Delayed,13,Lagos,Tayo,8,South West,Ngozi
2024-02-07,Lagos,Ikeja,Honda,Accord,Nigerian Used,3000000,1,10.5,2685000.0,Individual,2024-02-13,On-Time,12,Lagos,Segun,15,South West,Tunde
2021-04-07,Lagos,Lekki,Toyota,Highlander,Nigerian Used,2500000,1,17.69,2057750.0,Individual,2021-04-10,On-Time,9,Lagos,David,15,South West,Emeka
2026-01-06,Edo,Uromi,Hyundai,Santa Fe,Foreign Used,20000000,2,3.88,38448000.0,Individual,2026-01-14,On-Time,3,Lagos,David,3,South South,Ade
2023-02-27,Kano,Dambatta,Honda,CR-V,Foreign Used,13714285,1,7.12,12737827.908,Individual,2023-03-01,Delayed,10,Lagos,Chuka,8,North,Tunde
2025-05-26,Lagos,Ajah,Toyota,Rav4,Foreign Used,30000000,1,7.63,27711000.0,Individual,2025-05-28,On-Time,14,Lagos,Tayo,3,South West,Sola
2024-08-05,Kano,Wudil,Toyota,Sonata,Nigerian Used,7000000,1,8.74,6388200.0,Individual,2024-08-08,Delayed,11,Lagos,David,9,North,Tunde
2026-01-01,Benue,Makurdi,Honda,Sonata,Nigerian Used,12000000,1,2.3,11724000.0,Individual,2026-01-03,Delayed,5,Lagos,Segun,5,North,Uche
2022-10-03,Katsina,Katsina City,Toyota,Highlander,Foreign Used,23428571,1,5.55,22128285.3095,Individual,2022-10-10,On-Time,7,Lagos,Segun,5,North,Ade
2025-10-26,Lagos,Lekki,Honda,CR-V,Foreign Used,16571428,2,18.2,27110856.208,Individual,2025-10-27,On-Time,10,Lagos,Peter,7,South West,Kemi
2022-03-15,Anambra,Awka,Benz,E-Class,Foreign Used,19285714,1,12.91,16795928.3226,Individual,2022-03-17,On-Time,10,Lagos,Tayo,9,South East,Sola
2025-09-03,Lagos,Ajah,KIA,Sorento,Foreign Used,11285714,1,19.18,9121114.0548,Individual,2025-09-04,Delayed,13,Lagos,Emmanuel,7,South West,Chidi
2022-02-21,Lagos,Ikorodu,Toyota,Corolla,Nigerian Used,7750000,1,10.37,6946325.0,Individual,2022-02-23,Delayed,4,Lagos,Chuka,8,South West,Emeka
2021-03-11,Oyo,Ibadan Central,Toyota,Highlander,Nigerian Used,7000000,1,10.62,6256600.0,Individual,2021-03-15,On-Time,13,Lagos,David,9,South West,Ngozi
2025-06-25,Lagos,Lekki,Toyota,Camry,Foreign Used,26714285,1,6.59,24953813.6185,Individual,2025-06-27,On-Time,3,Lagos,David,4,South West,Tunde
2021-06-08,Bayelsa,Brass,Toyota,Sonata,Nigerian Used,7750000,1,12.25,6800625.0,Individual,2021-06-09,Delayed,12,Lagos,David,8,South South,Ngozi
2026-03-22,Lagos,Ikeja,Toyota,Rav4,Nigerian Used,2500000,1,9.81,2254750.0,Individual,2026-03-28,On-Time,13,Lagos,Emmanuel,15,South West,Sola
2021-09-06,Bayelsa,Ogbia,Hyundai,Elantra,Nigerian Used,9000000,1,11.97,7922700.0,Individual,2021-09-10,On-Time,12,Lagos,John,5,South South,Uche
2024-05-04,Edo,Ekpoma,Toyota,Highlander,Foreign Used,26714285,2,8.38,48951255.834,Individual,2024-05-09,On-Time,14,Lagos,David,4,South South,Chidi
2023-04-27,Enugu,Enugu City,Toyota,Camry,Foreign Used,23428571,1,1.34,23114628.1486,Individual,2023-05-03,On-Time,6,Lagos,Bright,5,South East,Uche
2022-08-16,Bayelsa,Yenagoa,Toyota,Corolla,Nigerian Used,7000000,1,11.95,6163500.0,Individual,2022-08-23,On-Time,9,Lagos,Emmanuel,9,South South,Ade
2022-09-20,Anambra,Nnewi,Toyota,Sonata,Foreign Used,10285714,1,18.73,8359199.7678,Individual,2022-09-27,On-Time,13,Lagos,Paul,9,South East,Ngozi
2023-09-19,Rivers,Port Harcourt,Toyota,Highlander,Foreign Used,13571428,2,4.69,25869856.0536,Individual,2023-09-20,On-Time,5,Lagos,David,8,South South,Tunde
2024-10-26,Lagos,Ajah,Honda,Pilot,Nigerian Used,5700000,1,15.8,4799400.0,Individual,2024-11-01,Delayed,9,Lagos,Paul,12,South West,Emeka
2021-08-16,Ekiti,Ado-Ekiti,Toyota,Highlander,Nigerian Used,7000000,1,15.65,5904500.0,Individual,2021-08-23,Delayed,12,Lagos,Peter,9,South West,Chidi
2023-05-15,Oyo,Ibadan South,Toyota,Highlander,Nigerian Used,7750000,1,8.99,7053275.0,Individual,2023-05-17,On-Time,8,Lagos,Segun,8,South West,Emeka
2023-02-21,Ekiti,Ikere,Honda,Civic,Nigerian Used,3900000,1,9.88,3514680.0,Individual,2023-02-24,Delayed,11,Lagos,Chuka,14,South West,Chidi
2022-02-16,Ekiti,Ikere,Hyundai,Elantra,Foreign Used,18000000,1,6.55,16821000.0,Individual,2022-02-20,Delayed,3,Lagos,Segun,4,South West,Uche
2024-06-14,Lagos,Lekki,Toyota,Highlander,Foreign Used,26714285,1,4.34,25554885.031,Individual,2024-06-16,On-Time,3,Lagos,Mike,4,South West,Bola
2023-02-10,Lagos,Ikeja,KIA,Sorento,Foreign Used,14142857,1,5.04,13430057.0072,Individual,2023-02-15,On-Time,9,Lagos,David,5,South West,Ade
2023-10-17,Ondo,Ondo,Toyota,Camry,Nigerian Used,10000000,1,19.79,8021000.0,Individual,2023-10-22,On-Time,12,Lagos,Emmanuel,5,South West,Emeka
2024-12-17,Anambra,Awka,Toyota,Corolla,Nigerian Used,7750000,2,16.13,12999850.0,Individual,2024-12-22,On-Time,2,Lagos,John,8,South East,Funke
2023-01-14,Ekiti,Ikere,Honda,CR-V,Foreign Used,25142857,3,19.51,60712456.7979,Individual,2023-01-21,On-Time,7,Lagos,David,4,South West,Chidi
2021-06-21,Lagos,Ajah,Toyota,Sonata,Foreign Used,16857142,2,18.87,27352398.6092,Individual,2021-06-28,On-Time,4,Lagos,John,7,South West,Funke
2021-09-13,Lagos,Ikorodu,Toyota,Rav4,Nigerian Used,5500000,1,2.68,5352600.0,Individual,2021-09-17,Delayed,14,Lagos,Chuka,11,South West,Ade
2023-11-17,Ogun,Abeokuta,Honda,Pilot,Foreign Used,22285714,1,5.54,21051085.4444,Individual,2023-11-25,On-Time,12,Lagos,Chuka,5,South West,Ade
