Sale_Date,State,City,Car_Model,Car_Type,Unit_Price_Naira,Quantity,Discount_Percent,Revenue_Naira,Customer_Type,Delivery_Date,Delivery_Status,Delivery_Time_Hours,Warehouse,Driver,Car_Age,Region,Sales_Rep,Brand
2021-01-05,FCT,Kuje,Sonata,Nigerian Used,7000000,3,7.74,19374600.0,Individual,2021-01-10,Delayed,68,Lagos,Tayo,9,North,Chidi,Hyundai
2021-01-06,Lagos,Ikeja,E-Class,Foreign Used,19285714,3,2.56,56375999.1648,Individual,2021-01-14,On-Time,8,Lagos,Mike,9,South West,Chidi,Benz
2021-01-06,Ondo,Owo,Camry,Foreign Used,13571428,1,5.33,12848070.8876,Individual,2021-01-09,On-Time,34,Lagos,John,8,South West,Kemi,Toyota
2021-01-06,Anambra,Awka,Civic,Nigerian Used,6600000,1,2.83,6413220.0,Individual,2021-01-15,On-Time,40,Lagos,Mike,11,South East,Bola,Honda
2021-01-06,Bayelsa,Sagbama,Rav4,Nigerian Used,7750000,1,11.03,6895175.0,Individual,2021-01-08,Delayed,53,Lagos,Paul,8,South South,Tunde,Toyota
2021-01-06,Oyo,Ogbomosho,CR-V,Nigerian Used,4800000,1,4.5,4584000.0,Individual,2021-01-07,On-Time,27,Lagos,Peter,13,South West,Emeka,Honda
2021-01-06,Lagos,Surulere,C-Class,Nigerian Used,11400000,1,4.5,10887000.0,Individual,2021-01-14,On-Time,11,Lagos,Paul,9,South West,Kemi,Benz
2021-01-06,Katsina,Funtua,Camry,Foreign Used,23428571,1,4.5,22374285.305,Individual,2021-01-12,Delayed,91,Lagos,Emmanuel,5,North,Chidi,Toyota
2021-01-06,Lagos,Ajah,Highlander,Foreign Used,16857142,1,9.09,15324827.792200001,Individual,2021-01-08,On-Time,9,Lagos,Segun,7,South West,Ngozi,Toyota
2021-01-06,Lagos,Ajah,Corolla,Nigerian Used,8500000,1,6.58,7940700.0,Individual,2021-01-15,On-Time,13,Lagos,Bright,7,South West,Uche,Toyota
2021-01-07,Osun,Osogbo,Santa Fe,Foreign Used,8000000,1,0.18,7985600.0,Individual,2021-01-11,On-Time,29,Lagos,Emmanuel,9,South West,Bola,Hyundai
2021-01-07,Imo,Owerri,E-Class,Foreign Used,23571428,1,5.74,22218428.0328,Individual,2021-01-15,Delayed,51,Lagos,Tayo,8,South East,Uche,Benz
2021-01-07,Ekiti,Ado-Ekiti,Rav4,Nigerian Used,4750000,1,4.63,4530075.0,Individual,2021-01-15,On-Time,28,Lagos,Segun,12,South West,Sola,Toyota
2021-01-07,Imo,Okigwe,Sonata,Nigerian Used,5750000,1,10.03,5173275.0,Individual,2021-01-10,On-Time,46,Lagos,Bright,10,South East,Kemi,Hyundai
2021-01-07,FCT,Bwari,Camry,Foreign Used,16857142,1,7.17,15648484.9186,Individual,2021-01-09,Delayed,69,Lagos,Peter,7,North,Uche,Toyota
2021-01-07,Lagos,Epe,Civic,Foreign Used,10857142,1,4.5,10368570.61,Individual,2021-01-12,On-Time,8,Lagos,Chuka,9,South West,Bola,Honda
2021-01-07,Kano,Gwarzo,E-Class,Nigerian Used,13200000,1,4.5,12606000.0,Individual,2021-01-10,Delayed,78,Lagos,Segun,7,North,Kemi,Benz
2021-01-07,Lagos,Ikorodu,Sonata,Nigerian Used,12000000,1,4.5,11460000.0,Individual,2021-01-16,On-Time,14,Lagos,Mike,5,South West,Kemi,Hyundai
2021-01-07,Osun,Osogbo,Santa Fe,Foreign Used,16000000,1,8.9,14576000.0,Individual,2021-01-12,On-Time,26,Lagos,John,5,South West,Bola,Hyundai
2021-01-08,Ekiti,Ado-Ekiti,Corolla,Foreign Used,13571428,1,1.72,13337999.4384,Individual,2021-01-12,On-Time,33,Lagos,Peter,8,South West,Funke,Toyota
2021-01-08,Kano,Gwarzo,Santa Fe,Nigerian Used,6400000,1,4.5,6112000.0,Individual,2021-01-12,Delayed,75,Lagos,David,9,North,Emeka,Hyundai
2021-01-08,Rivers,Port Harcourt,Civic,Foreign Used,10857142,2,4.5,20737141.22,Individual,2021-01-17,Delayed,54,Lagos,Tayo,9,South South,Funke,Honda
2021-01-08,Enugu,Udi,Accord,Nigerian Used,3000000,1,4.24,2872800.0,Individual,2021-01-17,On-Time,46,Lagos,John,15,South East,Kemi,Honda
2021-01-09,Bayelsa,Yenagoa,CR-V,Nigerian Used,4800000,1,8.52,4391040.0,Individual,2021-01-17,Delayed,53,Lagos,Mike,13,South South,Kemi,Honda
2021-01-09,Benue,Gboko,Tucson,Nigerian Used,5100000,1,4.5,4870500.0,Individual,2021-01-13,Delayed,64,Lagos,Bright,11,North,Chidi,Hyundai
2021-01-09,Edo,Uromi,CR-V,Foreign Used,28000000,1,11.32,24830400.0,Individual,2021-01-14,On-Time,32,Lagos,Tayo,3,South South,Ade,Honda
2021-01-09,Lagos,Ajah,Sonata,Nigerian Used,3000000,1,4.5,2865000.0,Individual,2021-01-13,On-Time,10,Lagos,Paul,15,South West,Bola,Hyundai
2021-01-09,Ondo,Ondo,Accord,Nigerian Used,6600000,1,10.97,5875980.0,Individual,2021-01-15,On-Time,35,Lagos,John,11,South West,Uche,Honda
2021-01-09,Lagos,Ajah,Rav4,Foreign Used,20142857,1,4.7,19196142.721,Individual,2021-01-13,On-Time,15,Lagos,Peter,6,South West,Sola,Toyota
2021-01-10,Lagos,Epe,Tucson,Nigerian Used,3150000,1,4.5,3008250.0,Individual,2021-01-11,On-Time,15,Lagos,David,14,South West,Chidi,Hyundai
2021-01-10,Lagos,Ikeja,Highlander,Foreign Used,20142857,1,4.5,19236428.435,Individual,2021-01-12,On-Time,10,Lagos,Mike,6,South West,Uche,Toyota
2021-01-10,Lagos,Epe,GLC 350,Nigerian Used,15000000,1,10.92,13362000.0,Individual,2021-01-13,On-Time,9,Lagos,Paul,5,South West,Ade,Benz
2021-01-10,Imo,Okigwe,C-Class,Foreign Used,36428571,3,7.01,101624784.51869999,Individual,2021-01-17,On-Time,48,Lagos,Bright,5,South East,Ngozi,Benz
2021-01-10,Lagos,Surulere,Highlander,Foreign Used,26714285,2,9.14,48545198.702,Individual,2021-01-15,On-Time,8,Lagos,Paul,4,South West,Ngozi,Toyota
2021-01-10,Lagos,Ikorodu,Rav4,Nigerian Used,5500000,1,4.75,5238750.0,Individual,2021-01-11,On-Time,15,Lagos,John,11,South West,Chidi,Toyota
2021-01-10,Katsina,Katsina City,Highlander,Foreign Used,16857142,1,4.5,16098570.61,Individual,2021-01-17,Delayed,93,Lagos,Segun,7,North,Kemi,Toyota
2021-01-10,Katsina,Bakori,Pilot,Foreign Used,8000000,1,1.95,7844000.0,Individual,2021-01-18,Delayed,93,Lagos,Chuka,10,North,Chidi,Honda
2021-01-11,Ogun,Sango Ota,Accord,Foreign Used,16571428,1,5.38,15679885.173600001,Individual,2021-01-13,On-Time,15,Lagos,John,7,South West,Ade,Honda
2021-01-11,Enugu,Udi,Tucson,Nigerian Used,9000000,1,2.46,8778600.0,Individual,2021-01-13,On-Time,46,Lagos,John,5,South East,Ngozi,Hyundai
2021-01-11,Enugu,Enugu City,GLC 350,Foreign Used,32142857,2,3.36,62125714.009600006,Individual,2021-01-12,On-Time,43,Lagos,John,6,South East,Kemi,Benz
2021-01-11,Osun,Osogbo,Elantra,Foreign Used,12000000,1,4.5,11460000.0,Individual,2021-01-16,On-Time,27,Lagos,David,7,South West,Kemi,Hyundai
2021-01-11,Bayelsa,Brass,Tucson,Nigerian Used,4450000,2,4.5,8499500.0,Individual,2021-01-12,Delayed,57,Lagos,Bright,12,South South,Kemi,Hyundai
2021-01-11,Imo,Owerri,Tucson,Foreign Used,12000000,1,4.5,11460000.0,Individual,2021-01-15,On-Time,49,Lagos,Bright,7,South East,Ngozi,Hyundai
2021-01-12,Ondo,Ondo,Pilot,Nigerian Used,9300000,2,7.61,17184540.0,Individual,2021-01-20,On-Time,30,Lagos,Paul,8,South West,Ade,Honda
2021-01-12,Enugu,Enugu City,Rav4,Nigerian Used,8500000,1,1.53,8369950.0,Individual,2021-01-19,On-Time,47,Lagos,Chuka,7,South East,Chidi,Toyota
2021-01-13,Kano,Dambatta,GLC 350,Nigerian Used,13200000,1,4.5,12606000.0,Individual,2021-01-14,Delayed,78,Lagos,Tayo,7,North,Ngozi,Benz
2021-01-13,Bayelsa,Yenagoa,Civic,Foreign Used,19428571,1,2.97,18851542.4413,Individual,2021-01-15,Delayed,56,Lagos,John,6,South South,Bola,Honda
2021-01-13,Lagos,Surulere,Corolla,Nigerian Used,3250000,2,11.78,5734300.0,Individual,2021-01-15,On-Time,14,Lagos,Mike,14,South West,Chidi,Toyota
2021-01-13,Benue,Gboko,E-Class,Nigerian Used,13200000,1,1.81,12961080.0,Individual,2021-01-18,Delayed,61,Lagos,Emmanuel,7,North,Funke,Benz
2021-01-14,Ekiti,Omuo,Highlander,Foreign Used,13571428,1,7.62,12537285.1864,Individual,2021-01-19,On-Time,31,Lagos,Mike,8,South West,Ade,Toyota
2021-01-14,Katsina,Bakori,Highlander,Nigerian Used,5500000,2,4.5,10505000.0,Individual,2021-01-18,Delayed,87,Lagos,Emmanuel,11,North,Uche,Toyota
2021-01-14,Lagos,Lekki,Sorento,Foreign Used,7000000,1,4.5,6685000.0,Individual,2021-01-17,On-Time,8,Lagos,Chuka,10,South West,Ade,KIA
2021-01-14,Lagos,Ajah,Sportage,Nigerian Used,7000000,1,4.5,6685000.0,Individual,2021-01-16,On-Time,10,Lagos,Peter,5,South West,Ngozi,KIA
2021-01-14,Enugu,Enugu City,C-Class,Nigerian Used,13200000,3,4.5,37818000.0,Individual,2021-01-17,On-Time,49,Lagos,Peter,7,South East,Ade,Benz
2021-01-14,Ekiti,Ikere,Highlander,Nigerian Used,7000000,1,8.01,6439300.0,Individual,2021-01-15,On-Time,27,Lagos,Segun,9,South West,Funke,Toyota
2021-01-14,Lagos,Ikeja,Highlander,Nigerian Used,7750000,1,4.5,7401250.0,Individual,2021-01-22,On-Time,14,Lagos,Mike,8,South West,Sola,Toyota
2021-01-14,Enugu,Udi,E-Class,Foreign Used,23571428,1,10.35,21131785.202,Individual,2021-01-20,On-Time,46,Lagos,Paul,8,South East,Funke,Benz
2021-01-15,Anambra,Awka,Pilot,Foreign Used,19428571,1,1.86,19067199.5794,Individual,2021-01-17,On-Time,41,Lagos,David,6,South East,Kemi,Honda
2021-01-15,Lagos,Ikorodu,Rio,Nigerian Used,5500000,1,4.5,5252500.0,Individual,2021-01-16,On-Time,10,Lagos,Mike,8,South West,Kemi,KIA
2021-01-15,Lagos,Epe,Corolla,Nigerian Used,7750000,1,11.02,6895950.0,Individual,2021-01-23,On-Time,10,Lagos,Bright,8,South West,Bola,Toyota
2021-01-15,Osun,Ede,Corolla,Foreign Used,20142857,1,4.5,19236428.435,Individual,2021-01-16,On-Time,25,Lagos,Segun,6,South West,Bola,Toyota
2021-01-15,Bayelsa,Ogbia,E-Class,Nigerian Used,11400000,1,4.5,10887000.0,Individual,2021-01-22,On-Time,50,Lagos,Bright,9,South South,Tunde,Benz
2021-01-15,Lagos,Surulere,Elantra,Foreign Used,18000000,1,10.89,16039800.0,Individual,2021-01-22,On-Time,11,Lagos,Segun,4,South West,Ade,Hyundai
2021-01-15,Imo,Orlu,Highlander,Nigerian Used,7750000,1,4.5,7401250.0,Individual,2021-01-18,On-Time,50,Lagos,Paul,8,South East,Uche,Toyota
2021-01-15,FCT,Bwari,Sonata,Foreign Used,16857142,1,4.5,16098570.61,Individual,2021-01-24,Delayed,67,Lagos,Mike,7,North,Ade,Hyundai
2021-01-16,Imo,Orlu,Highlander,Foreign Used,7000000,1,4.5,6685000.0,Individual,2021-01-17,On-Time,45,Lagos,David,10,South East,Emeka,Toyota
2021-01-16,Lagos,Ajah,Highlander,Foreign Used,26714285,2,4.5,51024284.35,Individual,2021-01-24,On-Time,8,Lagos,Paul,4,South West,Bola,Toyota
2021-01-16,Kano,Kano City,Corolla,Foreign Used,10285714,1,2.96,9981256.865600001,Individual,2021-01-17,Delayed,79,Lagos,Mike,9,North,Sola,Toyota
2021-01-17,Oyo,Ogbomosho,Sportage,Foreign Used,8428571,1,4.5,8049285.305,Individual,2021-01-19,On-Time,21,Lagos,Bright,9,South West,Chidi,KIA
2021-01-17,Oyo,Ibadan South,Camry,Foreign Used,13571428,1,6.65,12668928.038,Individual,2021-01-21,On-Time,24,Lagos,Segun,8,South West,Kemi,Toyota
2021-01-17,Lagos,Epe,Accord,Foreign Used,16571428,1,7.33,15356742.327599999,Individual,2021-01-23,On-Time,9,Lagos,Peter,7,South West,Sola,Honda
2021-01-17,Ondo,Owo,Sonata,Foreign Used,20142857,1,2.74,19590942.718200002,Individual,2021-01-18,On-Time,31,Lagos,Tayo,6,South West,Bola,Hyundai
2021-01-17,Kano,Dambatta,Pilot,Foreign Used,13714285,2,8.51,25094398.693,Individual,2021-01-24,Delayed,81,Lagos,Mike,8,North,Uche,Honda
2021-01-18,Lagos,Epe,Camry,Foreign Used,16857142,1,7.97,15513627.7826,Individual,2021-01-24,On-Time,15,Lagos,Tayo,7,South West,Funke,Toyota
2021-01-18,Katsina,Funtua,Elantra,Foreign Used,6000000,1,3.28,5803200.0,Individual,2021-01-27,Delayed,90,Lagos,Emmanuel,10,North,Ngozi,Hyundai
2021-01-18,Enugu,Enugu City,Rav4,Foreign Used,30000000,1,4.33,28701000.0,Individual,2021-01-21,On-Time,42,Lagos,Paul,3,South East,Ngozi,Toyota
2021-01-18,Enugu,Udi,Santa Fe,Foreign Used,10000000,1,0.55,9945000.0,Individual,2021-01-25,On-Time,45,Lagos,Segun,8,South East,Kemi,Hyundai
2021-01-18,Lagos,Ajah,CR-V,Foreign Used,16571428,1,7.34,15355085.184799999,Individual,2021-01-22,On-Time,15,Lagos,John,7,South West,Chidi,Honda
2021-01-19,Lagos,Alimosho,Camry,Nigerian Used,6250000,1,4.5,5968750.0,Individual,2021-01-24,On-Time,11,Lagos,John,10,South West,Bola,Toyota
2021-01-19,Benue,Katsina-Ala,Civic,Foreign Used,28000000,1,3.91,26905200.0,Individual,2021-01-26,Delayed,57,Lagos,Peter,3,North,Uche,Honda
2021-01-19,Lagos,Ikorodu,Rav4,Nigerian Used,9250000,1,11.89,8150175.0,Individual,2021-01-25,On-Time,11,Lagos,Emmanuel,6,South West,Ade,Toyota
2021-01-19,Imo,Orlu,Civic,Foreign Used,22285714,1,3.67,21467828.2962,Individual,2021-01-23,On-Time,48,Lagos,Chuka,5,South East,Funke,Honda
2021-01-20,Edo,Auchi,Accord,Foreign Used,16571428,2,4.5,31651427.48,Individual,2021-01-27,On-Time,34,Lagos,Chuka,7,South South,Funke,Honda
2021-01-20,Bayelsa,Sagbama,Corolla,Foreign Used,16857142,1,4.5,16098570.61,Individual,2021-01-21,Delayed,51,Lagos,David,7,South South,Emeka,Toyota
2021-01-21,Edo,Benin City,Highlander,Nigerian Used,8500000,1,11.05,7560750.0,Individual,2021-01-28,On-Time,35,Lagos,Chuka,7,South South,Sola,Toyota
2021-01-21,Lagos,Epe,Civic,Foreign Used,8000000,1,1.12,7910400.0,Individual,2021-01-26,On-Time,8,Lagos,Segun,10,South West,Sola,Honda
2021-01-21,Ondo,Akure,Accord,Nigerian Used,12000000,1,4.5,11460000.0,Individual,2021-01-22,On-Time,29,Lagos,Paul,5,South West,Emeka,Honda
2021-01-21,Anambra,Awka,C-Class,Nigerian Used,11400000,1,8.81,10395660.0,Individual,2021-01-24,On-Time,41,Lagos,David,9,South East,Tunde,Benz
2021-01-21,Ekiti,Omuo,Rav4,Nigerian Used,2500000,1,4.5,2387500.0,Individual,2021-01-22,On-Time,32,Lagos,Peter,15,South West,Sola,Toyota
2021-01-22,Lagos,Surulere,Santa Fe,Foreign Used,8000000,1,4.5,7640000.0,Individual,2021-01-26,On-Time,12,Lagos,Emmanuel,9,South West,Funke,Hyundai
2021-01-22,Oyo,Ibadan Central,Accord,Nigerian Used,7500000,1,7.43,6942750.0,Individual,2021-01-25,On-Time,21,Lagos,John,10,South West,Sola,Honda
2021-01-22,Enugu,Nsukka,Camry,Nigerian Used,9250000,1,4.5,8833750.0,Individual,2021-01-24,On-Time,46,Lagos,Bright,6,South East,Kemi,Toyota
2021-01-22,Imo,Owerri,Pilot,Foreign Used,10857142,1,4.5,10368570.61,Individual,2021-01-27,On-Time,49,Lagos,Paul,9,South East,Ngozi,Honda
2021-01-22,Ogun,Ijebu-Ode,Sonata,Foreign Used,22285714,1,4.5,21282856.869999997,Individual,2021-01-24,On-Time,18,Lagos,Chuka,5,South West,Funke,Hyundai
2021-01-23,Rivers,Eleme,Corolla,Foreign Used,16857142,1,7.55,15584427.779,Individual,2021-02-01,On-Time,49,Lagos,Bright,7,South South,Emeka,Toyota
2021-01-23,Katsina,Katsina City,Corolla,Foreign Used,26714285,1,7.43,24729413.6245,Individual,2021-01-26,Delayed,92,Lagos,Bright,4,North,Chidi,Toyota
2021-01-23,Lagos,Ikeja,Corolla,Foreign Used,13571428,1,4.5,12960713.74,Individual,2021-01-29,On-Time,10,Lagos,Chuka,8,South West,Ngozi,Toyota
2021-01-23,Anambra,Awka,CR-V,Foreign Used,10857142,1,4.5,10368570.61,Individual,2021-01-25,On-Time,40,Lagos,John,9,South East,Bola,Honda
2021-01-24,Lagos,Epe,Camry,Foreign Used,7000000,1,4.5,6685000.0,Individual,2021-02-01,On-Time,15,Lagos,Emmanuel,10,South West,Tunde,Toyota
2021-01-25,Lagos,Alimosho,Highlander,Foreign Used,26714285,1,4.5,25512142.175,Individual,2021-01-26,On-Time,12,Lagos,Tayo,4,South West,Ngozi,Toyota
2021-01-25,Katsina,Bakori,Accord,Foreign Used,19428571,1,3.89,18672799.588099997,Individual,2021-01-26,Delayed,90,Lagos,Chuka,6,North,Ade,Honda
2021-01-25,Ondo,Okitipupa,Camry,Nigerian Used,6250000,1,4.5,5968750.0,Individual,2021-01-31,On-Time,30,Lagos,Bright,10,South West,Kemi,Toyota
2021-01-25,Lagos,Alimosho,GLC 350,Nigerian Used,12300000,1,7.71,11351670.0,Individual,2021-01-29,On-Time,12,Lagos,Chuka,8,South West,Ade,Benz
2021-01-25,Lagos,Ikorodu,Highlander,Foreign Used,30000000,1,4.5,28650000.0,Individual,2021-02-03,On-Time,9,Lagos,Bright,3,South West,Tunde,Toyota
2021-01-25,Lagos,Epe,Sonata,Foreign Used,19428571,1,8.78,17722742.4662,Individual,2021-01-31,On-Time,10,Lagos,Paul,6,South West,Ngozi,Hyundai
2021-01-25,Ekiti,Omuo,GLE 450,Foreign Used,23571428,1,7.6,21779999.472000003,Individual,2021-01-31,On-Time,26,Lagos,Bright,8,South West,Bola,Benz
2021-01-25,Lagos,Ikorodu,Civic,Nigerian Used,10200000,1,4.5,9741000.0,Individual,2021-01-29,On-Time,10,Lagos,Segun,7,South West,Ade,Honda
2021-01-25,FCT,Gwagwalada,Corolla,Foreign Used,30000000,2,4.5,57300000.0,Individual,2021-01-31,Delayed,67,Lagos,Tayo,3,North,Uche,Toyota
2021-01-25,Bayelsa,Sagbama,Highlander,Foreign Used,30000000,3,4.5,85950000.0,Individual,2021-01-26,Delayed,54,Lagos,Paul,3,South South,Kemi,Toyota
2021-01-25,Lagos,Ikorodu,Pilot,Foreign Used,13714285,3,4.5,39291426.525,Individual,2021-01-27,On-Time,10,Lagos,Paul,8,South West,Tunde,Honda
2021-01-26,Anambra,Nnewi,CR-V,Nigerian Used,10200000,1,4.5,9741000.0,Individual,2021-01-30,On-Time,44,Lagos,Paul,7,South East,Uche,Honda
2021-01-26,Ogun,Ijebu-Ode,GLE 450,Nigerian Used,13200000,3,4.5,37818000.0,Individual,2021-01-29,On-Time,20,Lagos,Paul,7,South West,Bola,Benz
2021-01-27,Imo,Oguta,C-Class,Foreign Used,40714285,1,9.71,36760927.9265,Individual,2021-02-02,On-Time,50,Lagos,John,4,South East,Chidi,Benz
2021-01-27,Lagos,Epe,Highlander,Foreign Used,10285714,1,9.82,9275656.8852,Individual,2021-01-29,On-Time,15,Lagos,Peter,9,South West,Ade,Toyota
2021-01-27,Ondo,Ondo,Rav4,Foreign Used,23428571,1,4.5,22374285.305,Individual,2021-02-05,On-Time,35,Lagos,Bright,5,South West,Sola,Toyota
2021-01-27,Rivers,Port Harcourt,Camry,Foreign Used,10285714,1,10.49,9206742.601400001,Individual,2021-02-03,On-Time,50,Lagos,Bright,9,South South,Ade,Toyota
2021-02-01,Lagos,Lekki,Rav4,Nigerian Used,8500000,1,4.5,8117500.0,Individual,2021-02-04,On-Time,10,Lagos,Segun,7,South West,Kemi,Toyota
2021-02-01,Lagos,Alimosho,Elantra,Foreign Used,14000000,1,9.29,12699400.0,Individual,2021-02-08,On-Time,8,Lagos,Bright,6,South West,Emeka,Hyundai
2021-02-01,Lagos,Ikorodu,Corolla,Foreign Used,30000000,1,4.5,28650000.0,Individual,2021-02-04,On-Time,14,Lagos,Chuka,3,South West,Ade,Toyota
2021-02-01,Lagos,Surulere,Accord,Foreign Used,28000000,1,7.17,25992400.0,Individual,2021-02-02,On-Time,13,Lagos,Peter,3,South West,Funke,Honda
2021-02-01,Lagos,Alimosho,Santa Fe,Nigerian Used,3150000,1,4.5,3008250.0,Individual,2021-02-09,On-Time,11,Lagos,John,14,South West,Tunde,Hyundai
2021-02-01,Benue,Gboko,Sonata,Foreign Used,13714285,1,4.5,13097142.174999999,Individual,2021-02-10,Delayed,63,Lagos,John,8,North,Sola,Hyundai
2021-02-02,Lagos,Lekki,CR-V,Foreign Used,10857142,1,1.12,10735542.0096,Individual,2021-02-10,On-Time,9,Lagos,Peter,9,South West,Funke,Honda
2021-02-02,Benue,Otukpo,Sonata,Foreign Used,8000000,1,3.94,7684800.0,Individual,2021-02-05,Delayed,64,Lagos,Segun,10,North,Sola,Hyundai
2021-02-02,Kano,Gwarzo,E-Class,Nigerian Used,9600000,1,4.5,9168000.0,Individual,2021-02-10,Delayed,74,Lagos,David,11,North,Kemi,Benz
2021-02-02,Lagos,Epe,Pilot,Nigerian Used,3900000,1,1.17,3854370.0,Individual,2021-02-04,On-Time,13,Lagos,Bright,14,South West,Kemi,Honda
2021-02-03,Oyo,Ogbomosho,Highlander,Foreign Used,13571428,1,0.33,13526642.287600001,Individual,2021-02-06,On-Time,24,Lagos,John,8,South West,Emeka,Toyota
2021-02-03,Lagos,Epe,Pilot,Nigerian Used,6600000,1,9.05,6002700.0,Individual,2021-02-06,On-Time,8,Lagos,Chuka,11,South West,Kemi,Honda
2021-02-03,Ogun,Abeokuta,Pilot,Nigerian Used,8400000,3,10.82,22473360.0,Individual,2021-02-09,On-Time,20,Lagos,Chuka,9,South West,Kemi,Honda
2021-02-03,Lagos,Ikorodu,Sonata,Nigerian Used,9250000,1,2.27,9040025.0,Individual,2021-02-08,On-Time,14,Lagos,Emmanuel,6,South West,Ngozi,Hyundai
2021-02-03,Oyo,Ibadan Central,Pilot,Foreign Used,13714285,1,4.5,13097142.174999999,Individual,2021-02-04,On-Time,24,Lagos,David,8,South West,Funke,Honda
2021-02-04,Ondo,Ondo,Rav4,Foreign Used,26714285,1,10.48,23914627.932,Individual,2021-02-13,On-Time,35,Lagos,Tayo,4,South West,Bola,Toyota
2021-02-04,FCT,Abuja,Camry,Foreign Used,10285714,1,4.5,9822856.87,Individual,2021-02-13,Delayed,65,Lagos,David,9,North,Ade,Toyota
2021-02-04,Bayelsa,Yenagoa,Civic,Nigerian Used,12000000,1,4.5,11460000.0,Individual,2021-02-10,Delayed,52,Lagos,Mike,5,South South,Tunde,Honda
2021-02-04,FCT,Kuje,Camry,Nigerian Used,5500000,1,0.61,5466450.0,Individual,2021-02-06,Delayed,69,Lagos,Paul,11,North,Sola,Toyota
2021-02-04,Osun,Ile-Ife,Sportage,Nigerian Used,3500000,1,10.1,3146500.0,Individual,2021-02-12,On-Time,30,Lagos,Emmanuel,12,South West,Emeka,KIA
2021-02-05,Katsina,Daura,Elantra,Foreign Used,10000000,1,11.03,8897000.0,Individual,2021-02-06,Delayed,88,Lagos,Tayo,8,North,Chidi,Hyundai
2021-02-05,Rivers,Port Harcourt,Rav4,Foreign Used,20142857,1,11.79,17768014.1597,Individual,2021-02-14,On-Time,49,Lagos,Peter,6,South South,Emeka,Toyota
2021-02-05,Imo,Owerri,Pilot,Foreign Used,28000000,1,4.5,26740000.0,Individual,2021-02-10,On-Time,44,Lagos,Tayo,3,South East,Chidi,Honda
2021-02-06,Kano,Wudil,Corolla,Nigerian Used,7000000,1,4.5,6685000.0,Individual,2021-02-13,Delayed,80,Lagos,Emmanuel,9,North,Ade,Toyota
2021-02-06,Oyo,Ibadan North,Accord,Nigerian Used,3000000,1,4.5,2865000.0,Individual,2021-02-12,On-Time,25,Lagos,Segun,15,South West,Ade,Honda
2021-02-06,Katsina,Katsina City,Sonata,Nigerian Used,3250000,1,4.5,3103750.0,Individual,2021-02-14,Delayed,88,Lagos,Segun,14,North,Ngozi,Hyundai
